id,bank_reference,utr,amount_paise,transaction_date,narration,matched_settlement_id
30000000-0000-4000-8000-000000000000,BANKREF-Z7BH25LLO3,406280627444,681679,2026-08-01,NEFT CR-ORD-2026-000000,20000000-0000-4000-8000-000000000000
30000000-0000-4000-8000-000000000001,BANKREF-FV2BC2NNUV,693755362174,318209,2026-07-13,NEFT CR-ORD-2026-000001,20000000-0000-4000-8000-000000000001
30000000-0000-4000-8000-000000000002,BANKREF-MUQ9E5COZR,445130451855,207778,2026-07-13,NEFT CR-ORD-2026-000002,20000000-0000-4000-8000-000000000002
30000000-0000-4000-8000-000000000002D,BANKREF-P6BEFFLZM7D,882651355191,207778,2026-07-14,NEFT CR-ORD-2026-000002,20000000-0000-4000-8000-000000000002
30000000-0000-4000-8000-000000000003,BANKREF-1SDIEQFB85,499897119484,1172168,2026-06-08,NEFT CR-ORD-2026-000003,20000000-0000-4000-8000-000000000003
30000000-0000-4000-8000-000000000004,BANKREF-UNFVOBBZ2S,181933685554,827987,2026-08-21,NEFT CR-ORD-2026-000004,20000000-0000-4000-8000-000000000004
30000000-0000-4000-8000-000000000005,BANKREF-50CEHLXSLG,933776661252,779070,2026-06-21,NEFT CR-ORD-2026-000005,20000000-0000-4000-8000-000000000005
30000000-0000-4000-8000-000000000006,BANKREF-WBOZD1AT7O,984193690557,1147075,2026-07-24,NEFT CR-ORD-2026-000006,20000000-0000-4000-8000-000000000006
30000000-0000-4000-8000-000000000007,BANKREF-3SDYGFLIJI,793706601345,683718,2026-08-28,NEFT CR-ORD-2026-000007,20000000-0000-4000-8000-000000000007
30000000-0000-4000-8000-000000000008,BANKREF-YZR6QCEOUU,630202047508,1123641,2026-06-02,NEFT CR-ORD-2026-000008,20000000-0000-4000-8000-000000000008
30000000-0000-4000-8000-000000000009,BANKREF-G51BXW76IC,546820457719,478631,2026-07-03,NEFT CR-ORD-2026-000009,20000000-0000-4000-8000-000000000009
30000000-0000-4000-8000-000000000010,BANKREF-U8UEIHX74D,712668177548,529502,2026-08-02,NEFT CR-ORD-2026-000010,20000000-0000-4000-8000-000000000010
30000000-0000-4000-8000-000000000012,BANKREF-G698S4C3BA,160124069960,764912,2026-06-28,NEFT CR-ORD-2026-000012,20000000-0000-4000-8000-000000000012
30000000-0000-4000-8000-000000000013,BANKREF-CAGRP2U4DT,028840098509,677426,2026-06-25,NEFT CR-ORD-2026-000013,20000000-0000-4000-8000-000000000013
30000000-0000-4000-8000-000000000014,BANKREF-PYXDW2ZCFZ,673103321145,350821,2026-07-23,NEFT CR-ORD-2026-000014,20000000-0000-4000-8000-000000000014
30000000-0000-4000-8000-000000000015,BANKREF-LW2LM349EL,923992645238,61416,2026-07-11,NEFT CR-ORD-2026-000015,20000000-0000-4000-8000-000000000015
30000000-0000-4000-8000-000000000016,BANKREF-DIXFWUXX8L,710275623466,199093,2026-07-12,NEFT CR-ORD-2026-000016,20000000-0000-4000-8000-000000000016
30000000-0000-4000-8000-000000000017,BANKREF-GXO05QPAHK,775753116493,58682,2026-08-12,NEFT CR-ORD-2026-000017,20000000-0000-4000-8000-000000000017
30000000-0000-4000-8000-000000000018,BANKREF-RHNUXORZPG,572022757455,647353,2026-07-13,NEFT CR-ORD-2026-000018,20000000-0000-4000-8000-000000000018
30000000-0000-4000-8000-000000000019,BANKREF-LZKJ49YD82,998182787645,1336399,2026-07-28,NEFT CR-ORD-2026-000019,20000000-0000-4000-8000-000000000019
30000000-0000-4000-8000-000000000020,BANKREF-BW4A7FQ9P9,983880306606,682015,2026-07-28,NEFT CR-ORD-2026-000020,20000000-0000-4000-8000-000000000020
30000000-0000-4000-8000-000000000021,BANKREF-7WPH6FE0MP,726267290882,701768,2026-06-03,NEFT CR-ORD-2026-000021,20000000-0000-4000-8000-000000000021
30000000-0000-4000-8000-000000000022,BANKREF-ZCTWJLSH3T,368606780044,321138,2026-06-16,NEFT CR-ORD-2026-000022,20000000-0000-4000-8000-000000000022
30000000-0000-4000-8000-000000000023,BANKREF-ISB5IQNF74,597434720359,514172,2026-06-15,NEFT CR-ORD-2026-000023,20000000-0000-4000-8000-000000000023
30000000-0000-4000-8000-000000000024,BANKREF-DTIRC9ZD76,573900180549,1306130,2026-08-10,NEFT CR-ORD-2026-000024,20000000-0000-4000-8000-000000000024
30000000-0000-4000-8000-000000000025,BANKREF-YJ9BOQ0IQ2,108918366528,436939,2026-08-01,NEFT CR-ORD-2026-000025,20000000-0000-4000-8000-000000000025
30000000-0000-4000-8000-000000000026,BANKREF-W2292MTR6S,313287095799,335686,2026-08-29,NEFT CR-ORD-2026-000026,20000000-0000-4000-8000-000000000026
30000000-0000-4000-8000-000000000027,BANKREF-SA7HEZ74LA,597889393131,1070232,2026-08-19,NEFT CR-ORD-2026-000027,20000000-0000-4000-8000-000000000027
30000000-0000-4000-8000-000000000028,BANKREF-3Y0MAHYM2Z,044148338757,1286114,2026-08-11,NEFT CR-ORD-2026-000028,20000000-0000-4000-8000-000000000028
30000000-0000-4000-8000-000000000029,BANKREF-FMPKXVHAGK,083346051834,727845,2026-08-04,NEFT CR-ORD-2026-000029,20000000-0000-4000-8000-000000000029
30000000-0000-4000-8000-000000000030,BANKREF-3EP9P9W4J6,903332487654,763350,2026-07-29,NEFT CR-ORD-2026-000030,20000000-0000-4000-8000-000000000030
30000000-0000-4000-8000-000000000031,BANKREF-9IK01L0VDP,944530707475,256500,2026-07-09,NEFT CR-ORD-2026-000031,20000000-0000-4000-8000-000000000031
30000000-0000-4000-8000-000000000033,BANKREF-QHKSWVA984,552643232696,901412,2026-07-03,NEFT CR-ORD-2026-000033,20000000-0000-4000-8000-000000000033
30000000-0000-4000-8000-000000000034,BANKREF-86XII5P5NV,410656411654,846929,2026-08-07,NEFT CR-ORD-2026-000034,20000000-0000-4000-8000-000000000034
30000000-0000-4000-8000-000000000035,BANKREF-AA0I5LDSLC,094554619471,339787,2026-08-12,NEFT CR-ORD-2026-000035,20000000-0000-4000-8000-000000000035
30000000-0000-4000-8000-000000000036,BANKREF-SWK2RV239M,415964200154,384799,2026-07-11,NEFT CR-ORD-2026-000036,20000000-0000-4000-8000-000000000036
30000000-0000-4000-8000-000000000037,BANKREF-2X2EZC7FOV,861330689191,139430,2026-08-21,NEFT CR-ORD-2026-000037,20000000-0000-4000-8000-000000000037
30000000-0000-4000-8000-000000000038,BANKREF-LKSTN3CPUD,439704058796,92953,2026-07-10,NEFT CR-ORD-2026-000038,20000000-0000-4000-8000-000000000038
30000000-0000-4000-8000-000000000039,BANKREF-H3GM1BWYE6,455907545979,350332,2026-06-28,NEFT CR-ORD-2026-000039,20000000-0000-4000-8000-000000000039
30000000-0000-4000-8000-000000000040,BANKREF-SYLEMRUYP0,828850161712,297216,2026-06-04,NEFT CR-ORD-2026-000040,20000000-0000-4000-8000-000000000040
30000000-0000-4000-8000-000000000041,BANKREF-1TV18KGYGG,534515237113,1362176,2026-07-31,NEFT CR-ORD-2026-000041,20000000-0000-4000-8000-000000000041
30000000-0000-4000-8000-000000000042,BANKREF-N2EJ0AS1SS,426300975626,992091,2026-08-26,NEFT CR-ORD-2026-000042,20000000-0000-4000-8000-000000000042
30000000-0000-4000-8000-000000000043,BANKREF-7D2KD1POXR,513759169773,1356220,2026-08-05,NEFT CR-ORD-2026-000043,20000000-0000-4000-8000-000000000043
30000000-0000-4000-8000-000000000044,BANKREF-EXDW6LQWLV,533402274817,1418807,2026-08-31,NEFT CR-ORD-2026-000044,20000000-0000-4000-8000-000000000044
30000000-0000-4000-8000-000000000045,BANKREF-OSX43WFSQG,969743240302,718545,2026-07-01,NEFT CR-ORD-2026-000045,20000000-0000-4000-8000-000000000045
30000000-0000-4000-8000-000000000046,BANKREF-GNZEI3ZRRH,180051605021,770770,2026-07-16,NEFT CR-ORD-2026-000046,20000000-0000-4000-8000-000000000046
30000000-0000-4000-8000-000000000047,BANKREF-5T1DX6TA7Y,448649473898,921038,2026-07-11,NEFT CR-ORD-2026-000047,20000000-0000-4000-8000-000000000047
30000000-0000-4000-8000-000000000048,BANKREF-JLMZ04X0QZ,124356719001,700079,2026-06-20,NEFT CR-ORD-2026-000048,20000000-0000-4000-8000-000000000048
30000000-0000-4000-8000-000000000049,BANKREF-0CDK36M8JV,195241029898,160423,2026-06-16,NEFT CR-ORD-2026-000049,20000000-0000-4000-8000-000000000049
30000000-0000-4000-8000-000000000050,BANKREF-G07G0IIJI4,837109408983,1129890,2026-06-20,NEFT CR-ORD-2026-000050,20000000-0000-4000-8000-000000000050
30000000-0000-4000-8000-000000000051,BANKREF-RHZN4KGEUI,022431918149,1456105,2026-08-06,NEFT CR-ORD-2026-000051,20000000-0000-4000-8000-000000000051
30000000-0000-4000-8000-000000000052,BANKREF-WQ85X7PWO6,033676387975,873585,2026-06-13,NEFT CR-ORD-2026-000052,20000000-0000-4000-8000-000000000052
30000000-0000-4000-8000-000000000053,BANKREF-Q57TE8TVQ0,846594203410,287062,2026-07-06,NEFT CR-ORD-2026-000053,20000000-0000-4000-8000-000000000053
30000000-0000-4000-8000-000000000054,BANKREF-GKWWJWGABT,112772143379,569534,2026-06-26,NEFT CR-ORD-2026-000054,20000000-0000-4000-8000-000000000054
30000000-0000-4000-8000-000000000055,BANKREF-RKMBY9IPA2,532956617246,547663,2026-07-04,NEFT CR-ORD-2026-000055,20000000-0000-4000-8000-000000000055
30000000-0000-4000-8000-000000000056,BANKREF-KJNAWNGA41,276535456361,115410,2026-07-20,NEFT CR-ORD-2026-000056,20000000-0000-4000-8000-000000000056
30000000-0000-4000-8000-000000000057,BANKREF-CHSDINGXU8,557756741755,125291,2026-06-27,NEFT CR-ORD-2026-000057,20000000-0000-4000-8000-000000000057
30000000-0000-4000-8000-000000000058,BANKREF-7SUUDQFJ6I,235520344878,873487,2026-06-09,NEFT CR-ORD-2026-000058,20000000-0000-4000-8000-000000000058
30000000-0000-4000-8000-000000000059,BANKREF-FMR0TJOPZ1,413559522465,1046798,2026-08-20,NEFT CR-ORD-2026-000059,20000000-0000-4000-8000-000000000059
30000000-0000-4000-8000-000000000060,BANKREF-TW9ZYN6SJC,262490669312,696954,2026-08-18,NEFT CR-ORD-2026-000060,20000000-0000-4000-8000-000000000060
30000000-0000-4000-8000-000000000061,BANKREF-MOE0SY5YPU,436416562168,389193,2026-06-09,NEFT CR-ORD-2026-000061,20000000-0000-4000-8000-000000000061
30000000-0000-4000-8000-000000000062,BANKREF-ZN4REGB1AJ,479709984342,1251257,2026-08-15,NEFT CR-ORD-2026-000062,20000000-0000-4000-8000-000000000062
