id,order_id,payment_ref,amount_paise,fee_paise,tax_paise,refund_amount_paise,method,status,captured_at
10000000-0000-4000-8000-000000000000,00000000-0000-4000-8000-000000000000,pay_XD9CSS9TOQW9JA,702400,14048,2529,0,UPI,CAPTURED,2026-07-30T20:46:50
10000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000000001,pay_YN2JCPP9GKDLKQ,325900,6518,1173,0,WALLET,CAPTURED,2026-07-11T12:20:44
10000000-0000-4000-8000-000000000002,00000000-0000-4000-8000-000000000002,pay_1ZHWY9HECGZ938,212800,4256,766,0,NETBANKING,CAPTURED,2026-07-11T20:27:21
10000000-0000-4000-8000-000000000003,00000000-0000-4000-8000-000000000003,pay_M7B5C81JHUWB6T,1200500,24010,4322,600250,NETBANKING,CAPTURED,2026-06-06T22:44:27
10000000-0000-4000-8000-000000000004,00000000-0000-4000-8000-000000000004,pay_8HMBR5XQT4P501,848000,16960,3053,0,NETBANKING,CAPTURED,2026-08-18T14:19:05
10000000-0000-4000-8000-000000000005,00000000-0000-4000-8000-000000000005,pay_NY9V20YAR821UZ,797900,15958,2872,0,WALLET,CAPTURED,2026-06-18T10:55:00
10000000-0000-4000-8000-000000000006,00000000-0000-4000-8000-000000000006,pay_YRRU7ZKUT6OM1F,1174800,23496,4229,0,UPI,CAPTURED,2026-07-22T10:31:30
10000000-0000-4000-8000-000000000007,00000000-0000-4000-8000-000000000007,pay_7B42G05KBKV7MQ,704500,14090,2536,0,WALLET,CAPTURED,2026-08-25T06:22:55
10000000-0000-4000-8000-000000000008,00000000-0000-4000-8000-000000000008,pay_W7NH8RQ9NZ6123,1150800,23016,4143,0,CARD,CAPTURED,2026-05-31T11:19:42
10000000-0000-4000-8000-000000000009,00000000-0000-4000-8000-000000000009,pay_GEX08N6Q7NC85E,490200,9804,1765,0,NETBANKING,CAPTURED,2026-06-30T01:09:23
10000000-0000-4000-8000-000000000010,00000000-0000-4000-8000-000000000010,pay_VYLKFXHKC856WP,542300,10846,1952,0,WALLET,CAPTURED,2026-07-31T20:58:33
10000000-0000-4000-8000-000000000011,00000000-0000-4000-8000-000000000011,pay_78E9RIVH6T1NTM,45000,900,162,0,NETBANKING,CAPTURED,2026-07-18T11:02:31
10000000-0000-4000-8000-000000000012,00000000-0000-4000-8000-000000000012,pay_201LHLB50ATVZK,783400,15668,2820,0,CARD,CAPTURED,2026-06-25T18:06:30
10000000-0000-4000-8000-000000000013,00000000-0000-4000-8000-000000000013,pay_AZTKSZP7G7SIWJ,693800,13876,2498,0,NETBANKING,CAPTURED,2026-06-22T20:05:14
10000000-0000-4000-8000-000000000014,00000000-0000-4000-8000-000000000014,pay_F337KUU4YTN02Y,359300,7186,1293,0,UPI,CAPTURED,2026-07-20T00:34:29
10000000-0000-4000-8000-000000000015,00000000-0000-4000-8000-000000000015,pay_MDVLNKND669UGN,62900,1258,226,0,CARD,CAPTURED,2026-07-08T03:45:47
10000000-0000-4000-8000-000000000016,00000000-0000-4000-8000-000000000016,pay_H9G1A07H23C42Y,206400,4128,743,0,CARD,CAPTURED,2026-07-10T13:17:44
10000000-0000-4000-8000-000000000017,00000000-0000-4000-8000-000000000017,pay_DO8E7FLQHRRPZL,60100,1202,216,0,NETBANKING,CAPTURED,2026-08-10T12:33:37
10000000-0000-4000-8000-000000000018,00000000-0000-4000-8000-000000000018,pay_EMQGY27VYLIENF,663000,13260,2387,0,WALLET,CAPTURED,2026-07-11T22:15:39
10000000-0000-4000-8000-000000000019,00000000-0000-4000-8000-000000000019,pay_T11PHP0XI5BJ5D,1368700,27374,4927,0,UPI,CAPTURED,2026-07-26T19:46:51
10000000-0000-4000-8000-000000000020,00000000-0000-4000-8000-000000000020,pay_QW5DSK7N8LA100,698500,13970,2515,0,WALLET,CAPTURED,2026-07-26T22:51:49
10000000-0000-4000-8000-000000000021,00000000-0000-4000-8000-000000000021,pay_DDHCVSQAME4YRI,723100,14462,2603,0,UPI,CAPTURED,2026-06-01T08:31:53
10000000-0000-4000-8000-000000000022,00000000-0000-4000-8000-000000000022,pay_OX22INIWC5AMLN,328900,6578,1184,0,WALLET,CAPTURED,2026-06-13T18:33:16
10000000-0000-4000-8000-000000000023,00000000-0000-4000-8000-000000000023,pay_00EZZF8S2ZGE2J,526600,10532,1896,0,UPI,CAPTURED,2026-06-13T02:00:37
10000000-0000-4000-8000-000000000024,00000000-0000-4000-8000-000000000024,pay_98CQK4LTAHUKWQ,1337700,26754,4816,0,WALLET,CAPTURED,2026-08-07T08:07:58
10000000-0000-4000-8000-000000000025,00000000-0000-4000-8000-000000000025,pay_7O3LQI7E1DDQLE,447500,8950,1611,0,NETBANKING,CAPTURED,2026-07-30T10:37:35
10000000-0000-4000-8000-000000000026,00000000-0000-4000-8000-000000000026,pay_PE63LBQGU3OBYG,343800,6876,1238,0,CARD,CAPTURED,2026-08-27T02:21:20
10000000-0000-4000-8000-000000000027,00000000-0000-4000-8000-000000000027,pay_J37C9H42M44GV3,1096100,21922,3946,0,NETBANKING,CAPTURED,2026-08-17T09:01:57
10000000-0000-4000-8000-000000000028,00000000-0000-4000-8000-000000000028,pay_8XG8Y72IVGLYE0,1317200,26344,4742,0,WALLET,CAPTURED,2026-08-09T15:54:49
10000000-0000-4000-8000-000000000029,00000000-0000-4000-8000-000000000029,pay_2BAJDM5FC79M96,759200,15184,2733,0,UPI,CAPTURED,2026-08-01T05:55:33
10000000-0000-4000-8000-000000000030,00000000-0000-4000-8000-000000000030,pay_IJC1YDMT8VT43P,781800,15636,2814,0,WALLET,CAPTURED,2026-07-27T16:00:56
10000000-0000-4000-8000-000000000031,00000000-0000-4000-8000-000000000031,pay_V177UDKTMONRVB,262700,5254,946,131350,NETBANKING,CAPTURED,2026-07-07T05:27:06
10000000-0000-4000-8000-000000000032,00000000-0000-4000-8000-000000000032,pay_5HCBBMHNQO7YIR,304500,6090,1096,0,WALLET,CAPTURED,2026-06-18T01:03:20
10000000-0000-4000-8000-000000000033,00000000-0000-4000-8000-000000000033,pay_M4J3DAB42HHIHX,923200,18464,3324,0,UPI,CAPTURED,2026-06-30T21:22:31
10000000-0000-4000-8000-000000000034,00000000-0000-4000-8000-000000000034,pay_IC43OLFARK6O0U,867400,17348,3123,433700,CARD,CAPTURED,2026-08-05T05:27:42
10000000-0000-4000-8000-000000000035,00000000-0000-4000-8000-000000000035,pay_OU6QLZ2RWGWAJ1,348000,6960,1253,0,CARD,CAPTURED,2026-08-10T05:00:23
10000000-0000-4000-8000-000000000036,00000000-0000-4000-8000-000000000036,pay_0E0VGNXB5JTB9X,394100,7882,1419,0,UPI,CAPTURED,2026-07-09T00:41:48
