id,payment_id,settlement_ref,gross_amount_paise,fee_paise,tax_paise,refund_paise,net_amount_paise,settlement_date
20000000-0000-4000-8000-000000000000,10000000-0000-4000-8000-000000000000,setl_0W10LBT3G2QZW3,702400,17560,3161,0,681679,2026-08-01
20000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,setl_YMB5M9J98CWN2Y,325900,6518,1173,0,318209,2026-07-13
20000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000002,setl_MCT64Z7W2SEHE2,212800,4256,766,0,207778,2026-07-13
20000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000003,setl_2YKCCPRHVLZ049,1200500,24010,4322,0,1172168,2026-06-08
20000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000004,setl_OUHTCS1K9YE9O2,848000,16960,3053,0,827987,2026-08-20
20000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000005,setl_SZ1N3IUZGPPOHS,797900,15958,2872,0,779070,2026-06-20
20000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000006,setl_8C7X0H3JUJD0IB,1174800,23496,4229,0,1147075,2026-07-24
20000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000007,setl_4QGEFQJG02U1G4,704500,17612,3170,0,683718,2026-08-27
20000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000008,setl_15CQZCUCTSUFLS,1150800,23016,4143,0,1123641,2026-06-02
20000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000009,setl_GTT0IAAKYTT3IM,490200,9804,1765,0,478631,2026-07-02
20000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000010,setl_97Y2LOFN1R4KZ3,542300,10846,1952,0,529502,2026-08-02
20000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000012,setl_IUIT7M1R00Q0MF,783400,15668,2820,0,764912,2026-06-27
20000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000013,setl_2C8QIZK3C9XBON,693800,13876,2498,0,677426,2026-06-24
20000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000014,setl_0MDICVWV8LW2QI,359300,7186,1293,0,350821,2026-07-22
20000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000015,setl_KRCPPRCJIWVHDK,62900,1258,226,0,61416,2026-07-10
20000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000016,setl_IXZ2C9ROS7YT2M,206400,6192,1115,0,199093,2026-07-12
20000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000017,setl_3E4XYF9IGFU8IO,60100,1202,216,0,58682,2026-08-12
20000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000018,setl_VUPRT77GGKG4W5,663000,13260,2387,0,647353,2026-07-13
20000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000019,setl_3H0Y4VPW232UTV,1368700,27374,4927,0,1336399,2026-07-28
20000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000020,setl_XMCTHPHJ3MUURM,698500,13970,2515,0,682015,2026-07-28
20000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000021,setl_DNKN35XYCUVFMH,723100,18078,3254,0,701768,2026-06-03
20000000-0000-4000-8000-000000000022,10000000-0000-4000-8000-000000000022,setl_TGQ9CVAH78OKZ1,328900,6578,1184,0,321138,2026-06-15
20000000-0000-4000-8000-000000000023,10000000-0000-4000-8000-000000000023,setl_6MPSJ9WRSB4GF1,526600,10532,1896,0,514172,2026-06-15
20000000-0000-4000-8000-000000000024,10000000-0000-4000-8000-000000000024,setl_10T2F7ATWYAM1N,1337700,26754,4816,0,1306130,2026-08-09
20000000-0000-4000-8000-000000000025,10000000-0000-4000-8000-000000000025,setl_HLJEFY3ZB4LDIM,447500,8950,1611,0,436939,2026-08-01
20000000-0000-4000-8000-000000000026,10000000-0000-4000-8000-000000000026,setl_GK5BWIKOTCKEH5,343800,6876,1238,0,335686,2026-08-29
20000000-0000-4000-8000-000000000027,10000000-0000-4000-8000-000000000027,setl_VZMUF8438TGBCV,1096100,21922,3946,0,1070232,2026-08-19
20000000-0000-4000-8000-000000000028,10000000-0000-4000-8000-000000000028,setl_98BV78HU7F0I9G,1317200,26344,4742,0,1286114,2026-08-11
20000000-0000-4000-8000-000000000029,10000000-0000-4000-8000-000000000029,setl_F6FDHGZZ0JKIBU,759200,26572,4783,0,727845,2026-08-03
20000000-0000-4000-8000-000000000030,10000000-0000-4000-8000-000000000030,setl_5RC6ZS62YWE1G9,781800,15636,2814,0,763350,2026-07-29
20000000-0000-4000-8000-000000000031,10000000-0000-4000-8000-000000000031,setl_WYOO5YBRJNM2L4,262700,5254,946,0,256500,2026-07-09
20000000-0000-4000-8000-000000000033,10000000-0000-4000-8000-000000000033,setl_21A6XVAJ2K8XPN,923200,18464,3324,0,901412,2026-07-02
20000000-0000-4000-8000-000000000034,10000000-0000-4000-8000-000000000034,setl_YWR7MKGXUKQ00U,867400,17348,3123,0,846929,2026-08-07
20000000-0000-4000-8000-000000000035,10000000-0000-4000-8000-000000000035,setl_1R1DWWO8NBHNAL,348000,6960,1253,0,339787,2026-08-12
20000000-0000-4000-8000-000000000036,10000000-0000-4000-8000-000000000036,setl_YPNTRFZWKXXJVE,394100,7882,1419,0,384799,2026-07-11
20000000-0000-4000-8000-000000000037,10000000-0000-4000-8000-000000000037,setl_4XGMPW5D3GO8JN,142800,2856,514,0,139430,2026-08-20
20000000-0000-4000-8000-000000000038,10000000-0000-4000-8000-000000000038,setl_MYN4U9BXF445CR,95200,1904,343,0,92953,2026-07-10
20000000-0000-4000-8000-000000000039,10000000-0000-4000-8000-000000000039,setl_38KSZBFFZZDVG7,358800,7176,1292,0,350332,2026-06-27
20000000-0000-4000-8000-000000000040,10000000-0000-4000-8000-000000000040,setl_V5S4TL0THHZY7E,304400,6088,1096,0,297216,2026-06-04
20000000-0000-4000-8000-000000000041,10000000-0000-4000-8000-000000000041,setl_X7N89LTAJW2536,1395100,27902,5022,0,1362176,2026-07-30
20000000-0000-4000-8000-000000000042,10000000-0000-4000-8000-000000000042,setl_K8WRU1XEMIX7IB,1028500,30855,5554,0,992091,2026-08-25
20000000-0000-4000-8000-000000000043,10000000-0000-4000-8000-000000000043,setl_36OQOLOEAZC0B4,1389000,27780,5000,0,1356220,2026-08-04
20000000-0000-4000-8000-000000000044,10000000-0000-4000-8000-000000000044,setl_EYUB19TXCYJHU8,1453100,29062,5231,0,1418807,2026-08-30
20000000-0000-4000-8000-000000000045,10000000-0000-4000-8000-000000000045,setl_U1HBJ6TXFO6V4E,749500,26233,4722,0,718545,2026-07-01
20000000-0000-4000-8000-000000000046,10000000-0000-4000-8000-000000000046,setl_J9IO3M25A5PISK,789400,15788,2842,0,770770,2026-07-16
20000000-0000-4000-8000-000000000047,10000000-0000-4000-8000-000000000047,setl_0MQVINDH4SPFDR,943300,18866,3396,0,921038,2026-07-11
20000000-0000-4000-8000-000000000048,10000000-0000-4000-8000-000000000048,setl_NFXJ4PNJY1O2RN,717000,14340,2581,0,700079,2026-06-19
20000000-0000-4000-8000-000000000049,10000000-0000-4000-8000-000000000049,setl_BVSIGBIAF92MOV,164300,3286,591,0,160423,2026-06-16
20000000-0000-4000-8000-000000000050,10000000-0000-4000-8000-000000000050,setl_L8SA3IDY3C7RM6,1157200,23144,4166,0,1129890,2026-06-19
20000000-0000-4000-8000-000000000051,10000000-0000-4000-8000-000000000051,setl_9ZQYAHULWJTIQW,1491300,29826,5369,0,1456105,2026-07-22
20000000-0000-4000-8000-000000000052,10000000-0000-4000-8000-000000000052,setl_AE58HUXG2MYR06,894700,17894,3221,0,873585,2026-06-12
20000000-0000-4000-8000-000000000053,10000000-0000-4000-8000-000000000053,setl_JFX5LIKWE4BX4L,294000,5880,1058,0,287062,2026-07-05
20000000-0000-4000-8000-000000000054,10000000-0000-4000-8000-000000000054,setl_0ONJPI163YK03O,583300,11666,2100,0,569534,2026-06-26
20000000-0000-4000-8000-000000000055,10000000-0000-4000-8000-000000000055,setl_0BQ1S9RYLLWB7S,560900,11218,2019,0,547663,2026-07-03
20000000-0000-4000-8000-000000000056,10000000-0000-4000-8000-000000000056,setl_BZUTRUTLQ5V4FT,118200,2364,426,0,115410,2026-07-19
20000000-0000-4000-8000-000000000057,10000000-0000-4000-8000-000000000057,setl_X73QXM0632CWT0,129100,3228,581,0,125291,2026-06-26
20000000-0000-4000-8000-000000000058,10000000-0000-4000-8000-000000000058,setl_8QO09VS9KKH4A3,894600,17892,3221,0,873487,2026-06-08
